,road_number,origin_address,destination_address,distance,watercrossing,origin_lat,origin_long,destination_lat,destination_long,origin_lat_rad,origin_long_rad,destination_lat_rad,destination_long_rad
402,E45,"Napoli, Italy","Salerno, Italy",57,False,40.8359336,14.2487826,40.419441649999996,15.310756230322482,0.7127214944457809,0.24868817077087818,0.7054523386102294,0.2672231071893626
403,E45,"Verona, Italy","Modena, Italy",103,False,45.4384958,10.9924122,44.5384728,10.935960870530739,0.7930513588636149,0.19185378562639344,0.7773429941699379,0.1908685240600267
404,E45,"Fiano Romana, Italy","San Cesareo, Italy",64,False,44.4866354,11.3401649,41.819196,12.8003335,0.7764382608642646,0.19792321522409348,0.7298826607368426,0.2234079649283296
405,E45,"Vejle, Denmark","Kolding, Denmark",31,False,55.7000057,9.5333238,55.4894999,9.47905,0.9721484928446088,0.16638788896873738,0.9684744735400642,0.16544063246116852
406,E45,"Ålborg, Denmark","Århus, Denmark",121,False,57.0462626,9.9215263,56.1496278,10.2134046,0.9956451083273009,0.17316330075821068,0.9799958788793401,0.17825753810833445
407,E45,"Trento, Italy","Verona, Italy",99,False,46.0664228,11.1257601,45.4384958,10.9924122,0.8040107524757852,0.19418114553201357,0.7930513588636149,0.19185378562639344
408,E45,"Cosenza, Italy","Villa San Giovanni, Italy",177,False,39.596685300000004,16.333055599019605,38.2201116,15.6373809,0.6910925313610387,0.28506559711418683,0.667066787899678,0.27292378309347415
409,E45,"Bolzano, Italy","Trento, Italy",57,False,46.65594215,11.229637264169462,46.0664228,11.1257601,0.8142998061375022,0.19599414406440535,0.8040107524757852,0.19418114553201357
410,E45,"Würzburg, Germany","Nürnberg, Germany",118,False,49.79245,9.932966,49.453872,11.077298,0.8690421951346506,0.17336296118865108,0.8631328942598332,0.19333532232458284
411,E45,"Passo di Brennero, Italy","Fortezza, Italy",45,False,46.9620652,11.51496,46.7868474,11.61245,0.8196426612762492,0.20097396523544625,0.8165845337581484,0.2026754867232155
412,E45,"Flensburg, Germany","Hamburg, Germany",158,False,54.7833021,9.4333264,53.550341,10.000654,0.9561489967597238,0.16464260509530362,0.9346297660157128,0.17454433965274102
413,E45,"Fortezza, Italy","Bolzano, Italy",50,False,46.7868474,11.61245,46.65594215,11.229637264169462,0.8165845337581484,0.2026754867232155,0.8142998061375022,0.19599414406440535
414,E45,"Hamburg, Germany","Hannover, Germany",157,False,53.550341,10.000654,52.3744779,9.7385532,0.9346297660157128,0.17454433965274102,0.9141070833680055,0.16996981772062983
415,E45,"Hannover, Germany","Göttingen, Germany",124,False,52.3744779,9.7385532,51.5328328,9.9351811,0.9141070833680055,0.16996981772062983,0.8994176052397285,0.173401621976912
416,E45,"Göttingen, Germany","Kassel, Germany",46,False,51.5328328,9.9351811,51.3154546,9.4924096,0.8994176052397285,0.173401621976912,0.8956236399276698,0.16567380146791794
417,E45,"Århus, Denmark","Vejle, Denmark",69,False,56.1496278,10.2134046,55.7000057,9.5333238,0.9799958788793401,0.17825753810833445,0.9721484928446088,0.16638788896873738
418,E45,"Fulda, Germany","Würzburg, Germany",110,False,50.5542328,9.6770448,49.79245,9.932966,0.8823378131797119,0.16889629362299613,0.8690421951346506,0.17336296118865108
419,E45,"Kassel, Germany","Fulda, Germany",110,False,51.3154546,9.4924096,50.5542328,9.6770448,0.8956236399276698,0.16567380146791794,0.8823378131797119,0.16889629362299613
