,u,v
1192,390,396
1193,390,332
1194,391,392
1195,391,332
1196,392,393
1197,392,335
1198,392,391
1199,393,392
1200,393,394
1201,393,438
1202,394,393
1203,394,395
1204,395,394
1205,395,398
1206,396,579
1207,396,389
1208,396,390
1209,397,326
1210,397,329
1211,397,398
1212,397,405
1213,397,799
1214,398,395
1215,398,397
1216,398,498
1217,398,499
1218,398,437
1219,399,845
1220,399,380
1221,399,381
1222,400,401
1223,400,156
1224,401,400
1225,401,342
1226,402,264
1227,402,492
1228,402,365
1229,402,350
1230,403,354
1231,403,365
1232,404,354
1233,404,405
1234,405,408
1235,405,404
1236,405,397
1237,405,414
1238,406,324
1239,406,407
1240,407,408
1241,407,406
1242,408,411
1243,408,780
1244,408,405
1245,408,407
1246,409,415
1247,409,410
1248,409,485
1249,409,439
1250,410,499
1251,410,500
1252,410,409
1253,410,413
1254,410,414
1255,410,415
1256,411,408
1257,411,412
1258,412,800
1259,412,411
1260,412,413
1261,413,410
1262,413,412
1263,414,363
1264,414,364
1265,414,434
1266,414,405
1267,414,410
1268,414,478
1269,414,351
1270,415,409
1271,415,410
1272,416,424
1273,416,784
1274,416,478
1275,416,432
1276,417,418
1277,417,668
1278,418,417
1279,418,433
1280,419,285
1281,419,303
1282,420,328
1283,420,421
1284,421,420
1285,421,422
1286,422,421
1287,422,303
1288,423,528
1289,423,433
1290,423,529
1291,423,431
1292,424,416
1293,424,512
1294,424,577
1295,424,425
1296,424,536
1297,424,537
1298,424,541
1299,425,424
1300,425,426
1301,425,781
1302,426,425
1303,426,427
1304,426,513
1305,426,583
1306,427,624
1307,427,426
1308,427,787
1309,427,428
1310,428,627
1311,428,427
1312,428,429
1313,429,428
1314,429,430
1315,430,652
1316,430,429
1317,430,431
1318,430,529
1319,430,510
1320,431,430
1321,431,423
1322,432,416
1323,432,480
1324,432,434
1325,432,479
1326,433,418
1327,433,650
1328,433,423
1329,434,432
1330,434,414
1331,435,436
1332,435,877
1333,435,38
1334,436,107
1335,436,164
1336,436,435
1337,437,441
1338,437,398
1339,438,439
1340,438,393
1341,438,487
1342,439,440
1343,439,409
1344,439,485
1345,439,438
1346,440,441
1347,440,801
1348,440,439
1349,441,440
1350,441,437
1351,442,443
1352,442,190
1353,443,442
1354,443,444
1355,444,443
1356,444,244
1357,445,244
1358,445,532
1359,445,622
1360,445,173
1361,446,177
1362,446,36
1363,447,448
1364,447,452
1365,448,569
1366,448,570
1367,448,447
1368,449,450
1369,449,452
1370,450,449
1371,450,451
1372,451,450
1373,451,75
1374,451,564
1375,451,558
1376,452,449
1377,452,447
1378,453,520
1379,453,173
1380,453,244
1381,453,186
1382,453,863
1383,454,655
1384,454,865
1385,454,467
1386,454,455
1387,455,457
1388,455,699
1389,455,454
1390,455,563
1391,456,466
1392,456,557
1393,457,458
1394,457,563
1395,457,565
1396,457,455
1397,458,457
1398,458,459
1399,459,458
1400,459,460
1401,459,556
1402,459,849
1403,459,565
1404,460,459
1405,460,461
1406,461,464
1407,461,460
1408,462,466
1409,462,850
1410,462,463
1411,463,465
1412,463,556
1413,463,462
1414,464,381
1415,464,461
1416,465,381
1417,465,463
1418,466,456
1419,466,462
1420,466,383
1421,467,491
1422,467,454
1423,468,497
1424,468,490
1425,468,566
1426,468,561
1427,469,490
1428,469,491
1429,469,838
1430,470,56
1431,470,471
1432,471,472
1433,471,470
1434,472,193
1435,472,471
1436,473,474
1437,473,215
1438,474,473
1439,474,475
1440,475,474
1441,475,492
1442,476,492
1443,476,365
1444,477,363
1445,477,478
1446,478,416
1447,478,577
1448,478,555
1449,478,785
1450,478,477
1451,478,414
1452,478,479
1453,479,432
1454,479,478
1455,480,432
1456,480,481
1457,481,480
1458,481,482
1459,482,481
1460,482,493
1461,483,537
1462,483,484
1463,483,493
1464,483,485
1465,484,483
1466,484,485
1467,485,483
1468,485,484
1469,485,486
1470,485,534
1471,485,439
1472,485,409
1473,486,538
1474,486,485
1475,486,487
1476,487,488
1477,487,814
1478,487,438
1479,487,486
1480,488,489
1481,488,539
1482,488,487
1483,489,488
1484,489,496
1485,489,540
1486,490,468
1487,490,469
1488,491,467
1489,491,469
1490,492,402
1491,492,475
1492,492,476
1493,492,509
1494,493,482
1495,493,483
1496,494,609
1497,494,838
1498,494,815
1499,494,495
1500,494,497
1501,495,496
